bike_number,accumulated_hours_past,total_trips_past,bike_model
52810,90.8594097222222,380.0,CLASSIC
52811,80.52848833333334,311.0,CLASSIC
52813,78.99576944444446,366.0,CLASSIC
52814,94.17760055555556,365.0,CLASSIC
52816,93.56409055555554,376.0,CLASSIC
52817,101.41341555555556,419.0,CLASSIC
52819,42.189695,155.0,CLASSIC
52821,86.44800555555555,294.0,CLASSIC
52822,21.779173333333336,69.0,CLASSIC
52823,55.752125277777765,199.0,CLASSIC
52824,69.20380222222222,291.0,CLASSIC
52825,15.105956944444443,73.0,CLASSIC
52826,36.62837222222222,157.0,CLASSIC
52827,84.41383777777777,318.0,CLASSIC
52828,87.6877825,360.0,CLASSIC
52829,90.0158363888889,344.0,CLASSIC
52830,89.84637166666667,323.0,CLASSIC
52831,67.05051305555557,212.0,CLASSIC
52832,40.9997175,162.0,CLASSIC
52833,73.94773111111111,278.0,CLASSIC
52834,74.71345305555555,289.0,CLASSIC
52835,45.07330361111111,169.0,CLASSIC
52837,40.98069000000001,134.0,CLASSIC
52838,105.89554944444444,415.0,CLASSIC
52839,88.58706527777777,317.0,CLASSIC
52840,67.65345,297.0,CLASSIC
52841,50.12689416666666,188.0,CLASSIC
52842,49.91505055555555,260.0,CLASSIC
52843,106.63785888888889,358.0,CLASSIC
52844,24.11371666666667,101.0,CLASSIC
52845,66.36675861111111,235.0,CLASSIC
52846,19.42344361111111,81.0,CLASSIC
52847,87.19520444444444,330.0,CLASSIC
52849,88.77637361111111,359.0,CLASSIC
52850,122.48311666666667,444.0,CLASSIC
52852,64.68484249999999,261.0,CLASSIC
52853,63.96016777777778,259.0,CLASSIC
52855,9.13453138888889,46.0,CLASSIC
52856,102.82677555555556,307.0,CLASSIC
52857,26.824886111111116,109.0,CLASSIC
52858,50.27135583333334,222.0,CLASSIC
52860,69.11688861111111,264.0,CLASSIC
52861,92.72338194444444,306.0,CLASSIC
52863,47.46419222222222,177.0,CLASSIC
52864,97.23105861111112,339.0,CLASSIC
52865,92.2499011111111,344.0,CLASSIC
52867,41.06718361111111,183.0,CLASSIC
52869,73.29719055555556,255.0,CLASSIC
52870,96.89879638888893,322.0,CLASSIC
52871,88.22825277777778,335.0,CLASSIC
52873,90.44133416666666,327.0,CLASSIC
52874,36.09314416666667,151.0,CLASSIC
52875,22.6984075,100.0,CLASSIC
52876,112.40411333333334,400.0,CLASSIC
52877,64.45765944444445,264.0,CLASSIC
52878,72.97150555555558,283.0,CLASSIC
52879,17.674074166666664,81.0,CLASSIC
52880,77.90839138888887,284.0,CLASSIC
52881,86.5325425,332.0,CLASSIC
52882,81.1048575,312.0,CLASSIC
52884,37.53500694444445,153.0,CLASSIC
52885,35.2596075,134.0,CLASSIC
52886,39.50468111111112,156.0,CLASSIC
52887,50.25360527777778,183.0,CLASSIC
52888,46.54947055555556,190.0,CLASSIC
52892,65.3291561111111,222.0,CLASSIC
52893,53.53421611111111,224.0,CLASSIC
52897,40.49940805555556,165.0,CLASSIC
52898,82.80124,325.0,CLASSIC
52899,30.018710555555565,138.0,CLASSIC
52900,43.10559694444444,175.0,CLASSIC
52901,95.28300388888889,372.0,CLASSIC
52903,113.56207888888888,406.0,CLASSIC
52904,105.70579305555556,302.0,CLASSIC
52905,31.557046944444444,120.0,CLASSIC
52906,71.1080238888889,284.0,CLASSIC
52907,52.60684361111111,205.0,CLASSIC
52908,85.6123863888889,349.0,CLASSIC
52909,75.65116277777778,282.0,CLASSIC
52910,68.23361222222222,297.0,CLASSIC
52911,81.77512583333333,305.0,CLASSIC
52912,25.104461111111117,113.0,CLASSIC
52913,57.726440833333335,232.0,CLASSIC
52914,57.701739166666655,211.0,CLASSIC
52916,64.84167472222224,259.0,CLASSIC
52917,101.28646944444444,302.0,CLASSIC
52918,50.41411611111111,227.0,CLASSIC
52919,16.348107777777777,67.0,CLASSIC
52920,107.31162527777778,376.0,CLASSIC
52921,78.99641527777777,313.0,CLASSIC
52924,51.75740694444444,189.0,CLASSIC
52926,96.8962577777778,363.0,CLASSIC
52927,84.17295111111112,326.0,CLASSIC
52928,75.47481555555557,304.0,CLASSIC
52929,68.71647111111112,302.0,CLASSIC
52930,50.79764638888889,202.0,CLASSIC
52931,33.8159575,108.0,CLASSIC
52933,87.31974416666668,307.0,CLASSIC
52934,69.43486138888888,277.0,CLASSIC
52935,73.62993333333331,295.0,CLASSIC
52936,33.68111722222222,114.0,CLASSIC
52938,39.45858694444445,110.0,CLASSIC
52939,67.72803583333334,266.0,CLASSIC
52940,71.44627305555554,273.0,CLASSIC
52941,121.7806525,495.0,CLASSIC
52942,65.66476222222222,257.0,CLASSIC
52943,79.21373472222224,346.0,CLASSIC
52944,74.69973083333333,283.0,CLASSIC
52945,84.69335194444446,349.0,CLASSIC
52946,82.60043861111112,342.0,CLASSIC
52948,68.42702000000001,233.0,CLASSIC
52949,78.0818911111111,271.0,CLASSIC
52951,69.94540222222223,267.0,CLASSIC
52952,107.07102611111112,326.0,CLASSIC
52953,78.5334138888889,307.0,CLASSIC
52954,53.62137250000001,194.0,CLASSIC
52956,65.41888388888889,270.0,CLASSIC
52957,35.18938833333334,134.0,CLASSIC
52958,85.46272416666666,351.0,CLASSIC
52959,30.665684722222228,130.0,CLASSIC
52961,59.42455555555554,245.0,CLASSIC
52962,86.33725111111112,232.0,CLASSIC
52963,84.30147583333333,286.0,CLASSIC
52965,67.38666305555556,299.0,CLASSIC
52966,104.2680911111111,394.0,CLASSIC
52968,108.70783722222222,396.0,CLASSIC
52969,58.462892777777775,202.0,CLASSIC
52970,80.75478583333334,321.0,CLASSIC
52971,90.71697166666668,347.0,CLASSIC
52973,61.97387833333333,218.0,CLASSIC
52974,45.2470225,189.0,CLASSIC
52976,89.71104472222223,335.0,CLASSIC
52977,22.427877777777777,67.0,CLASSIC
52978,85.59784361111112,309.0,CLASSIC
52980,107.88659916666668,388.0,CLASSIC
52981,47.30763916666668,206.0,CLASSIC
52984,97.84748777777776,380.0,CLASSIC
52985,53.56465416666667,214.0,CLASSIC
52986,43.560629166666665,162.0,CLASSIC
52987,68.09364527777778,193.0,CLASSIC
52988,93.8507127777778,362.0,CLASSIC
52989,98.45251166666664,351.0,CLASSIC
52990,61.65152305555554,247.0,CLASSIC
52992,42.65059888888889,193.0,CLASSIC
52993,122.66498027777776,509.0,CLASSIC
52994,89.72198416666667,356.0,CLASSIC
52995,68.59628777777777,273.0,CLASSIC
52996,17.476624166666667,59.0,CLASSIC
52997,50.85003861111111,192.0,CLASSIC
52998,53.472565277777775,204.0,CLASSIC
52999,44.94106388888888,166.0,CLASSIC
53000,31.20978388888889,124.0,CLASSIC
53001,87.91685277777779,349.0,CLASSIC
53002,84.41419444444443,352.0,CLASSIC
53003,127.34326944444445,372.0,CLASSIC
53004,54.64785944444445,187.0,CLASSIC
53005,55.77621222222222,159.0,CLASSIC
53006,33.40454611111112,117.0,CLASSIC
53007,130.54137,288.0,CLASSIC
53008,24.78075305555556,89.0,CLASSIC
53009,16.986129722222223,71.0,CLASSIC
53010,84.67637861111112,329.0,CLASSIC
53012,90.28133277777778,303.0,CLASSIC
53015,70.00005805555556,295.0,CLASSIC
53016,43.32988,194.0,CLASSIC
53017,57.89140583333333,207.0,CLASSIC
53018,71.04548944444444,247.0,CLASSIC
53019,81.7520513888889,286.0,CLASSIC
53020,84.74764305555556,368.0,CLASSIC
53022,72.22447583333334,264.0,CLASSIC
53023,43.87499888888889,174.0,CLASSIC
53024,77.44067777777776,332.0,CLASSIC
53025,29.29824222222222,116.0,CLASSIC
53026,98.52721305555556,389.0,CLASSIC
53027,78.63085333333333,264.0,CLASSIC
53029,82.95424972222222,334.0,CLASSIC
53030,0.3210094444444444,1.0,CLASSIC
53031,58.27957249999999,99.0,CLASSIC
53032,74.6410486111111,294.0,CLASSIC
53033,21.406456111111112,80.0,CLASSIC
53034,101.8057061111111,350.0,CLASSIC
53035,87.48692916666667,338.0,CLASSIC
53036,85.00584805555556,335.0,CLASSIC
53037,118.55485416666664,327.0,CLASSIC
53038,109.49824055555555,283.0,CLASSIC
53039,86.10607138888889,309.0,CLASSIC
53040,108.54297722222222,412.0,CLASSIC
53041,51.83407583333333,190.0,CLASSIC
53045,23.6977925,92.0,CLASSIC
53047,13.4085825,51.0,CLASSIC
53048,56.628363888888885,232.0,CLASSIC
53049,51.22164305555556,187.0,CLASSIC
53050,11.132938888888887,54.0,CLASSIC
53051,53.40249972222222,197.0,CLASSIC
53052,69.74439138888889,249.0,CLASSIC
53054,62.93058972222222,262.0,CLASSIC
53055,59.65567027777777,242.0,CLASSIC
53058,31.816062777777777,141.0,CLASSIC
53059,97.43884444444444,380.0,CLASSIC
53060,40.42890194444444,175.0,CLASSIC
53061,87.90036333333333,371.0,CLASSIC
53063,66.5538138888889,249.0,CLASSIC
53064,87.9363963888889,336.0,CLASSIC
53065,82.1482586111111,319.0,CLASSIC
53068,1.30958,8.0,CLASSIC
53069,70.4113061111111,280.0,CLASSIC
53070,78.59451972222223,252.0,CLASSIC
53072,89.3585502777778,281.0,CLASSIC
53074,56.835259166666674,216.0,CLASSIC
53075,93.32285916666667,300.0,CLASSIC
53076,101.4788363888889,345.0,CLASSIC
53077,87.67864722222222,308.0,CLASSIC
53078,67.07551222222222,231.0,CLASSIC
