bike_number,bike_model,accumulated_hours_past,total_trips_past
14284,CLASSIC,7.678211666666667,30
14294,CLASSIC,1.9463066666666666,9
14312,CLASSIC,4.8382636111111115,14
14314,CLASSIC,10.528635,38
14316,CLASSIC,2.9958502777777776,15
14317,CLASSIC,5.210008888888889,26
14326,CLASSIC,8.926903333333334,28
14328,CLASSIC,8.45387611111111,30
14340,CLASSIC,5.8386861111111115,25
14362,CLASSIC,2.542072777777778,11
14363,CLASSIC,6.249263611111111,28
14365,CLASSIC,9.645108055555555,40
14372,CLASSIC,10.400430833333333,48
14385,CLASSIC,10.6635925,39
14392,CLASSIC,3.6156116666666667,15
14403,CLASSIC,5.846053333333333,26
14406,CLASSIC,4.088203055555556,11
14417,CLASSIC,6.606513611111111,24
14422,CLASSIC,13.817562222222222,59
14459,CLASSIC,26.600285277777775,34
14462,CLASSIC,35.04273861111111,52
14475,CLASSIC,17.13972861111111,57
14478,CLASSIC,12.313832777777778,23
14482,CLASSIC,1.9295594444444446,4
14523,CLASSIC,8.248036666666666,38
14544,CLASSIC,8.031367222222222,36
14545,CLASSIC,8.137515833333334,36
14563,CLASSIC,10.167611944444445,47
14569,CLASSIC,2.982082222222222,15
14585,CLASSIC,6.227855833333333,30
14614,CLASSIC,12.100176666666666,50
14616,CLASSIC,3.1341397222222223,17
14626,CLASSIC,9.815290833333334,36
14642,CLASSIC,4.635169444444444,20
14658,CLASSIC,9.69030888888889,34
14664,CLASSIC,5.466740277777778,24
14680,CLASSIC,12.935090277777778,44
14699,CLASSIC,10.644230555555556,40
14716,CLASSIC,6.486992777777778,34
14742,CLASSIC,7.163047777777778,32
14757,CLASSIC,13.085201944444444,53
14765,CLASSIC,4.0765183333333335,20
14773,CLASSIC,3.0213708333333336,15
14785,CLASSIC,7.220194444444444,32
14788,CLASSIC,6.019356388888889,26
14806,CLASSIC,4.640074722222222,18
14807,CLASSIC,6.008869444444445,26
14811,CLASSIC,6.030986111111111,18
14822,CLASSIC,6.510972777777778,26
14825,CLASSIC,7.709545,36
14851,CLASSIC,16.432801944444446,53
14852,CLASSIC,5.844285277777778,29
14856,CLASSIC,8.753492222222222,29
14863,CLASSIC,11.524285555555556,42
14880,CLASSIC,18.363526666666665,62
14909,CLASSIC,11.93241861111111,40
14923,CLASSIC,2.107880833333333,9
14956,CLASSIC,5.128137777777778,27
14972,CLASSIC,5.607243055555555,28
14979,CLASSIC,21.06055277777778,41
14987,CLASSIC,9.588946944444444,35
15008,CLASSIC,10.998508333333334,48
15013,CLASSIC,10.132518055555556,39
15018,CLASSIC,8.99483388888889,42
15028,CLASSIC,16.408351111111113,24
15031,CLASSIC,2.801878888888889,15
15041,CLASSIC,4.236281944444444,23
15047,CLASSIC,8.683124722222223,35
15048,CLASSIC,3.955870555555556,20
15063,CLASSIC,6.552058611111111,33
15066,CLASSIC,2.200225,11
15073,CLASSIC,0.6733019444444445,3
15077,CLASSIC,4.508564444444445,20
15083,CLASSIC,14.67499138888889,55
15090,CLASSIC,6.2294061111111105,25
15091,CLASSIC,6.719663333333333,28
15115,CLASSIC,7.8298016666666665,34
15126,CLASSIC,0.9316552777777778,5
15150,CLASSIC,7.9199552777777775,32
15156,CLASSIC,1.2479005555555556,7
15165,CLASSIC,5.701935555555556,23
15179,CLASSIC,16.32820388888889,55
15197,CLASSIC,4.549682222222223,19
15199,CLASSIC,9.66268611111111,48
15200,CLASSIC,11.02909,47
15207,CLASSIC,11.260305,32
15233,CLASSIC,14.962071388888889,26
15243,CLASSIC,2.7710544444444443,14
15245,CLASSIC,6.2048338888888885,1
15247,CLASSIC,5.398305833333334,24
15252,CLASSIC,3.326381666666667,17
15258,CLASSIC,10.538786944444444,48
15264,CLASSIC,7.681881388888889,24
15265,CLASSIC,2.654169722222222,12
15276,CLASSIC,10.539541388888889,39
15292,CLASSIC,3.704605,15
15294,CLASSIC,7.811651111111111,40
15323,CLASSIC,8.600377222222223,38
15339,CLASSIC,12.044533611111111,47
15356,CLASSIC,5.583009722222222,26
15361,CLASSIC,2.576862222222222,11
15366,CLASSIC,5.954347777777778,17
15367,CLASSIC,6.042716388888889,28
15373,CLASSIC,6.383428611111111,24
15378,CLASSIC,10.087691111111111,34
15379,CLASSIC,3.650309722222222,17
15390,CLASSIC,10.1977525,38
15391,CLASSIC,7.429026944444445,33
15396,CLASSIC,8.680987222222223,38
15404,CLASSIC,1.8112458333333334,7
15427,CLASSIC,2.1460983333333337,9
15430,CLASSIC,8.8873225,26
15455,CLASSIC,4.224334722222222,16
15462,CLASSIC,1.064848611111111,6
15469,CLASSIC,4.916381666666666,12
15481,CLASSIC,3.5742855555555555,7
15495,CLASSIC,14.918961111111111,40
15514,CLASSIC,2.5219336111111113,16
15532,CLASSIC,4.104272777777778,14
15533,CLASSIC,5.942974722222222,24
15545,CLASSIC,7.528734444444445,27
15573,CLASSIC,5.480873888888889,26
15577,CLASSIC,6.0855097222222225,22
15598,CLASSIC,6.238701388888889,30
